Semester;Hour;level;Conf[rule];Conf[test];Result;Result -2%
1;0;1.0;0.8317373461012312;0.8698630136986302;T;T
1;1;1.0;0.8426812585499316;0.8698630136986302;T;T
1;2;1.0;0.8194254445964432;0.8493150684931506;T;T
1;3;1.0;0.8317373461012312;0.821917808219178;F;T
1;4;1.0;0.8399452804377565;0.8424657534246576;T;T
1;5;1.0;0.8303693570451436;0.8287671232876712;F;T
1;6;1.0;0.8467852257181943;0.8698630136986302;T;T
1;7;1.0;0.9808481532147743;0.9863013698630136;T;T
1;8;1.0;0.987688098495212;1.0;T;T
1;9;1.0;0.8248974008207934;0.8424657534246576;T;T
1;10;1.0;0.8549931600547196;0.8424657534246576;F;T
1;11;1.0;0.8372093023255814;0.7808219178082192;F;F
1;12;1.0;1.0;1.0;T;T
1;13;1.0;1.0;1.0;T;T
1;14;1.0;0.9384404924760602;0.9794520547945206;T;T
1;15;1.0;0.9288645690834473;0.9246575342465754;F;T
1;16;1.0;0.9439124487004104;0.9726027397260274;T;T
1;17;1.0;0.9370725034199726;0.9452054794520548;T;T
1;18;2.0;0.4240766073871409;0.4383561643835616;T;T
1;19;4.0;0.35704514363885087;0.3082191780821918;F;F
1;20;4.0;0.40902872777017785;0.3904109589041096;F;T
1;21;4.0;0.38850889192886456;0.3767123287671233;F;T
1;22;4.0;0.3967168262653899;0.3698630136986301;F;F
1;23;2.0;0.518467852257182;0.5547945205479452;T;T
2;0;1.0;0.9153284671532846;0.9197080291970803;T;T
2;1;1.0;0.9240875912408759;0.9124087591240876;F;T
2;2;1.0;0.9284671532846716;0.8832116788321168;F;F
2;3;1.0;0.92992700729927;0.8978102189781022;F;F
2;4;1.0;0.8992700729927007;0.9343065693430657;T;T
2;5;1.0;0.910948905109489;0.9124087591240876;T;T
2;6;1.0;0.9240875912408759;0.9051094890510949;F;T
2;7;1.0;1.0;0.9927007299270073;F;T
2;8;1.0;0.997080291970803;1.0;T;T
2;9;1.0;0.9211678832116789;0.9124087591240876;F;T
2;10;1.0;0.9240875912408759;0.927007299270073;T;T
2;11;1.0;0.9021897810218978;0.927007299270073;T;T
2;12;1.0;1.0;1.0;T;T
2;13;1.0;1.0;1.0;T;T
2;14;1.0;0.9941605839416059;0.9854014598540146;F;T
2;15;1.0;0.9927007299270073;0.9927007299270073;T;T
2;16;1.0;0.9956204379562044;1.0;T;T
2;17;1.0;0.9912408759124087;0.9927007299270073;T;T
2;18;2.0;0.5416058394160584;0.5693430656934306;T;T
2;19;3.0;0.35912408759124087;0.34306569343065696;F;T
2;20;4.0;0.3445255474452555;0.3284671532846715;F;T
2;21;3.0;0.3372262773722628;0.2773722627737226;F;F
2;22;3.0;0.3357664233576642;0.34306569343065696;T;T
2;23;2.0;0.5124087591240876;0.5547445255474452;T;T
3;0;1.0;0.9625;1.0;T;T
3;1;1.0;0.95;1.0;T;T
3;2;1.0;0.9875;0.9375;F;F
3;3;1.0;0.9875;1.0;T;T
3;4;1.0;1.0;1.0;T;T
3;5;1.0;1.0;0.9375;F;F
3;6;1.0;0.9875;1.0;T;T
3;7;1.0;1.0;1.0;T;T
3;8;1.0;1.0;1.0;T;T
3;9;1.0;0.975;1.0;T;T
3;10;1.0;1.0;0.9375;F;F
3;11;1.0;0.9875;1.0;T;T
3;12;1.0;1.0;1.0;T;T
3;13;1.0;1.0;1.0;T;T
3;14;1.0;1.0;1.0;T;T
3;15;1.0;1.0;1.0;T;T
3;16;1.0;1.0;1.0;T;T
3;17;1.0;1.0;1.0;T;T
3;18;2.0;0.6875;0.5625;F;F
3;19;3.0;0.65;0.5625;F;F
3;20;3.0;0.55;0.625;T;T
3;21;3.0;0.6;0.625;T;T
3;22;3.0;0.65;0.5;F;F
3;23;1.0;0.525;0.6875;T;T
4;0;1.0;1.0;1.0;T;T
4;1;1.0;1.0;1.0;T;T
4;2;1.0;1.0;1.0;T;T
4;3;1.0;1.0;1.0;T;T
4;4;1.0;1.0;1.0;T;T
4;5;1.0;1.0;1.0;T;T
4;6;1.0;1.0;1.0;T;T
4;7;1.0;1.0;1.0;T;T
4;8;1.0;1.0;1.0;T;T
4;9;1.0;1.0;1.0;T;T
4;10;1.0;1.0;1.0;T;T
4;11;1.0;1.0;1.0;T;T
4;12;1.0;1.0;1.0;T;T
4;13;1.0;1.0;1.0;T;T
4;14;1.0;1.0;1.0;T;T
4;15;1.0;1.0;1.0;T;T
4;16;1.0;1.0;1.0;T;T
4;17;1.0;1.0;1.0;T;T
4;18;1.0;1.0;1.0;T;T
4;19;1.0;1.0;1.0;T;T
4;20;1.0;1.0;1.0;T;T
4;21;1.0;1.0;1.0;T;T
4;22;1.0;1.0;1.0;T;T
4;23;1.0;1.0;1.0;T;T
